steps,mean 100 episode reward,episodes,% time spent exploring
400529,1577.7,803,19
400800,1572.4,804,19
401034,1567.4,805,19
401263,1562.3,806,19
401513,1559.1,807,19
402062,1538.7,808,19
402966,1552.2,809,19
403062,1539.8,810,19
403191,1536.0,811,19
403295,1527.9,812,19
403616,1528.1,813,19
404099,1545.4,814,19
404194,1536.9,815,19
404617,1544.6,816,19
404831,1544.3,817,19
405359,1555.1,818,18
405622,1550.4,819,18
405725,1541.7,820,18
405963,1533.4,821,18
406168,1533.6,822,18
406495,1538.1,823,18
406788,1547.2,824,18
407060,1539.0,825,18
407189,1534.6,826,18
407433,1533.6,827,18
407530,1529.8,828,18
407868,1537.8,829,18
408100,1546.1,830,18
408327,1537.1,831,18
408742,1537.8,832,18
409356,1544.3,833,18
409663,1541.4,834,18
409798,1537.6,835,18
410001,1536.6,836,17
410364,1551.1,837,17
410725,1549.1,838,17
411013,1533.8,839,17
411429,1542.1,840,17
411983,1554.6,841,17
412277,1553.1,842,17
412479,1543.1,843,17
412925,1545.5,844,17
413665,1551.4,845,17
413766,1542.7,846,17
414614,1557.7,847,17
415350,1576.6,848,16
415453,1573.0,849,16
415901,1576.2,850,16
416106,1564.6,851,16
416378,1567.3,852,16
417268,1570.7,853,16
417655,1570.7,854,16
418008,1569.6,855,16
418148,1570.0,856,16
418505,1568.5,857,16
419133,1579.1,858,16
419385,1581.5,859,16
419744,1584.9,860,16
420261,1596.4,861,15
420357,1587.4,862,15
420781,1588.4,863,15
420872,1577.0,864,15
421028,1573.4,865,15
421303,1576.2,866,15
421525,1574.3,867,15
421701,1574.8,868,15
422250,1574.5,869,15
422555,1580.3,870,15
422764,1580.1,871,15
423399,1575.0,872,15
423632,1570.9,873,15
423761,1554.2,874,15
424184,1559.9,875,15
424463,1566.5,876,15
424858,1573.1,877,15
425117,1569.0,878,14
425251,1573.0,879,14
425532,1560.9,880,14
425786,1548.8,881,14
426524,1560.1,882,14
426765,1554.3,883,14
426898,1537.5,884,14
427275,1532.7,885,14
427428,1536.9,886,14
427530,1529.1,887,14
427835,1530.4,888,14
427954,1522.6,889,14
428206,1519.1,890,14
428626,1517.4,891,14
428879,1517.9,892,14
429356,1513.4,893,14
429512,1517.1,894,14
429866,1529.0,895,14
429973,1528.7,896,14
430323,1526.0,897,13
430457,1529.7,898,13
430796,1528.3,899,13
430904,1523.7,900,13
430995,1505.1,901,13
431221,1501.8,902,13
431601,1507.3,903,13
431698,1501.8,904,13
431806,1496.1,905,13
432362,1506.1,906,13
432834,1508.0,907,13
433095,1507.9,908,13
433199,1491.0,909,13
433493,1500.6,910,13
433709,1503.9,911,13
433878,1507.9,912,13
434112,1507.2,913,13
434837,1496.8,914,13
435427,1509.1,915,12
436075,1511.6,916,12
436750,1521.6,917,12
436854,1503.0,918,12
437232,1507.4,919,12
437525,1523.5,920,12
437934,1530.9,921,12
438257,1533.2,922,12
438391,1517.0,923,12
438773,1516.0,924,12
438908,1516.4,925,12
439314,1521.7,926,12
439663,1525.9,927,12
439930,1533.5,928,12
440389,1526.0,929,11
440739,1525.0,930,11
441153,1528.8,931,11
441319,1519.2,932,11
441778,1508.3,933,11
442215,1508.2,934,11
442390,1508.6,935,11
442897,1525.1,936,11
443187,1518.0,937,11
443375,1512.5,938,11
443668,1520.9,939,11
443949,1516.3,940,11
444390,1508.0,941,11
444680,1508.7,942,11
445294,1518.6,943,10
445653,1523.8,944,10
445904,1511.2,945,10
446221,1525.8,946,10
446395,1506.7,947,10
446496,1488.6,948,10
446692,1495.7,949,10
446842,1492.4,950,10
447018,1491.6,951,10
447284,1487.4,952,10
447419,1469.1,953,10
447641,1472.2,954,10
447806,1466.8,955,10
448064,1470.4,956,10
448323,1476.5,957,10
448617,1471.7,958,10
448926,1475.8,959,10
449507,1482.3,960,10
449608,1463.5,961,10
449704,1463.7,962,10
449934,1460.2,963,10
450417,1473.1,964,9
450531,1468.9,965,9
450926,1464.8,966,9
451457,1467.4,967,9
451777,1472.0,968,9
451893,1463.1,969,9
451997,1453.8,970,9
452091,1446.0,971,9
452200,1431.2,972,9
452290,1427.2,973,9
452497,1434.6,974,9
452603,1413.8,975,9
452943,1411.3,976,9
453161,1401.2,977,9
453383,1398.9,978,9
453659,1402.9,979,9
453752,1397.6,980,9
453886,1392.8,981,9
454161,1380.2,982,9
454541,1382.6,983,9
454785,1382.7,984,9
455123,1383.7,985,9
455429,1387.6,986,9
455642,1391.2,987,9
455936,1387.8,988,9
456159,1395.3,989,9
456520,1400.2,990,9
456684,1394.7,991,9
456809,1386.5,992,9
457220,1389.4,993,9
457730,1394.2,994,9
457897,1386.2,995,9
458155,1394.3,996,9
458479,1397.1,997,9
458802,1401.4,998,9
459211,1402.3,999,9
460108,1418.0,1000,9
460366,1424.9,1001,9
460766,1425.3,1002,9
461479,1427.4,1003,9
461766,1432.4,1004,9
462137,1439.5,1005,9
462359,1434.6,1006,9
462894,1436.9,1007,9
463151,1441.7,1008,9
463459,1452.4,1009,9
463559,1442.7,1010,9
463795,1443.3,1011,9
463935,1443.2,1012,9
464022,1435.3,1013,9
464374,1425.6,1014,9
464538,1416.6,1015,9
464626,1402.7,1016,9
464730,1389.1,1017,9
465107,1396.4,1018,9
465200,1388.8,1019,9
465415,1376.4,1020,9
465764,1369.9,1021,9
465928,1363.4,1022,9
466182,1375.1,1023,9
466601,1382.4,1024,9
466988,1390.0,1025,9
467169,1384.4,1026,9
467300,1372.4,1027,9
467901,1383.6,1028,9
468208,1388.2,1029,9
468449,1385.9,1030,9
468571,1377.7,1031,9
468962,1384.3,1032,9
469338,1393.6,1033,9
469535,1394.2,1034,9
469924,1400.3,1035,9
470215,1388.0,1036,9
470496,1384.1,1037,9
470615,1380.1,1038,9
470822,1372.6,1039,9
471086,1368.7,1040,9
471293,1367.1,1041,9
471461,1360.6,1042,9
471743,1356.4,1043,9
471844,1343.5,1044,9
472388,1361.5,1045,9
472483,1346.9,1046,9
473008,1349.6,1047,9
473219,1355.2,1048,9
473630,1353.3,1049,9
473964,1361.0,1050,9
474049,1357.1,1051,9
474215,1353.3,1052,9
474456,1361.4,1053,9
474707,1356.3,1054,9
474939,1360.6,1055,9
475025,1353.2,1056,9
475741,1365.6,1057,9
476024,1361.7,1058,9
476230,1357.8,1059,9
476688,1353.6,1060,9
476977,1362.5,1061,9
477426,1370.0,1062,9
477839,1374.1,1063,9
478222,1372.8,1064,9
478650,1389.0,1065,9
478770,1379.7,1066,9
478987,1375.1,1067,9
479154,1370.3,1068,9
479262,1370.3,1069,9
479660,1381.9,1070,9
479756,1381.8,1071,9
480076,1399.9,1072,9
480401,1414.1,1073,9
480750,1420.0,1074,9
481266,1431.8,1075,9
481566,1433.9,1076,9
481953,1441.6,1077,9
482387,1451.0,1078,9
482508,1442.8,1079,9
482631,1442.6,1080,9
482948,1454.3,1081,9
483222,1449.5,1082,9
483326,1441.8,1083,9
483845,1453.5,1084,9
484303,1456.6,1085,9
484478,1456.5,1086,9
484824,1468.3,1087,9
485356,1470.6,1088,9
485681,1475.2,1089,9
485888,1473.8,1090,9
486149,1477.3,1091,9
486332,1485.5,1092,9
486661,1479.2,1093,9
487016,1483.5,1094,9
487245,1488.4,1095,9
487536,1489.7,1096,9
487679,1481.7,1097,9
487976,1484.7,1098,9
488311,1488.7,1099,9
488427,1476.7,1100,9
488579,1477.1,1101,9
488968,1481.8,1102,9
489483,1479.5,1103,9
489823,1490.1,1104,9
490139,1500.2,1105,9
490433,1508.1,1106,9
490776,1510.5,1107,9
491127,1514.6,1108,9
491414,1519.2,1109,9
491678,1522.9,1110,9
491860,1526.3,1111,9
492174,1537.6,1112,9
492482,1547.9,1113,9
493070,1557.4,1114,9
493589,1567.8,1115,9
493934,1576.2,1116,9
494039,1576.2,1117,9
494263,1574.8,1118,9
494482,1582.5,1119,9
494760,1588.6,1120,9
495008,1598.8,1121,9
495115,1595.6,1122,9
495210,1584.2,1123,9
495642,1577.7,1124,9
496109,1575.2,1125,9
496664,1587.4,1126,9
496830,1591.8,1127,9
497085,1585.0,1128,9
497255,1576.4,1129,9
497546,1575.3,1130,9
497769,1578.9,1131,9
497927,1572.2,1132,9
498518,1575.1,1133,9
498616,1567.0,1134,9
498862,1564.2,1135,9
499123,1560.8,1136,9
499397,1562.3,1137,9
499547,1562.5,1138,9
499648,1554.4,1139,9
499874,1554.3,1140,9
